,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
620,2022-05-26,8,429.31
621,2022-05-26,6,1249.59
622,2022-05-26,1,971.18
623,2022-05-26,10,672.51
624,2022-05-26,2,132.43
625,2022-05-26,28,526.89
626,2022-05-26,1,467.22
627,2022-05-27,2,510.0
628,2022-05-27,2,552.28
629,2022-05-27,3,552.28
630,2022-05-27,1,167.59
631,2022-05-27,2,477.85
632,2022-05-30,3,320.13
633,2022-05-31,2,890.0
634,2022-05-31,2,567.03
635,2022-05-31,6,692.37
636,2022-05-31,4,659.02
637,2022-05-31,2,679.98
638,2022-05-31,4,1132.37
639,2022-05-31,2,1178.3
640,2022-05-31,10,994.67
641,2022-05-31,8,833.62
642,2022-05-31,5,751.23
643,2022-05-31,2,453.72
644,2022-06-01,1,281.37
645,2022-06-01,5,5660.7
646,2022-06-02,16,684.05
647,2022-06-02,6,847.6
648,2022-06-02,1,733.01
649,2022-06-02,4,633.22
650,2022-06-02,2,1257.0
651,2022-06-02,1,567.0
652,2022-06-02,2,340.87
653,2022-06-03,2,799.61
654,2022-06-03,36,1183.97
655,2022-06-06,1,8599.48
656,2022-06-06,2,564.21
657,2022-06-06,2,487.08
658,2022-06-06,1,525.31
659,2022-06-06,1,172.0
660,2022-06-07,1,507.67
661,2022-06-07,1,171.0
662,2022-06-07,12,492.1
663,2022-06-08,1,799.61
664,2022-06-09,1,732.06
665,2022-06-09,10,730.23
666,2022-06-09,30,921.2
667,2022-06-09,1,3065.61
668,2022-06-09,2,744.19
669,2022-06-09,4,349.31
670,2022-06-09,4,320.2
671,2022-06-09,4,-130.5
672,2022-06-10,1,-166753.38
673,2022-06-10,2,516.4
674,2022-06-10,2,1500.34
675,2022-06-10,1,799.61
676,2022-06-13,1,51.71
677,2022-06-13,1,1134.94
678,2022-06-13,2,1541.53
679,2022-06-14,4,624.16
680,2022-06-14,3,320.13
681,2022-06-14,6,1455.02
682,2022-06-14,1,2273.89
683,2022-06-15,3,701.46
684,2022-06-15,1,132.0
685,2022-06-15,2,647.8
686,2022-06-16,10,461.26
687,2022-06-16,12,476.34
688,2022-06-16,1,374.31
689,2022-06-16,20,1120.01
690,2022-06-16,2,2264.71
691,2022-06-16,1,152.67
692,2022-06-16,1,1182.26
693,2022-06-17,2,763.34
694,2022-06-17,2,394.33
695,2022-06-17,2,608.07
696,2022-06-17,2,732.5
697,2022-06-17,5,118.18
698,2022-06-17,5,147.43
699,2022-06-17,1,904.02
700,2022-06-17,4,764.96
701,2022-06-17,6,691.36
702,2022-06-17,6,738.91
703,2022-06-17,2,359.87
704,2022-06-17,1,143.51
705,2022-06-20,2,255.2
706,2022-06-20,2,666.86
707,2022-06-21,6,920.54
708,2022-06-21,6,904.23
709,2022-06-21,1,516.07
710,2022-06-21,1,315.84
711,2022-06-21,4,349.31
712,2022-06-21,4,255.2
713,2022-06-21,3,77.43
714,2022-06-22,4,461.8
715,2022-06-22,2,1133.31
716,2022-06-22,15,238.56
717,2022-06-22,2,302.35
718,2022-06-22,2,839.25
719,2022-06-22,2,525.31
720,2022-06-22,1,557.8
721,2022-06-22,2,277.42
722,2022-06-23,30,692.91
723,2022-06-23,4,-9.6
724,2022-06-23,1,2147.66
725,2022-06-23,1,701.36
726,2022-06-24,6,793.94
727,2022-06-24,4,425.58
728,2022-06-24,2,1382.96
729,2022-06-24,2,1113.07
730,2022-06-24,10,230.81
731,2022-06-24,3,252.65
732,2022-06-27,10,560.22
733,2022-06-27,10,612.63
734,2022-06-27,2,558.32
735,2022-06-27,1,475.41
736,2022-06-28,1,743.41
737,2022-06-28,2,500.84
738,2022-06-28,2,604.37
